ID,Choice,Grade,Living
1,Grades,4,Rural
2,Grades,4,Rural
3,Grades,4,Rural
4,Grades,4,Rural
5,Grades,4,Rural
6,Grades,4,Rural
7,Grades,4,Rural
8,Grades,4,Rural
9,Grades,4,Rural
10,Grades,4,Rural
11,Grades,4,Rural
12,Grades,4,Rural
13,Grades,4,Rural
14,Grades,4,Rural
15,Grades,4,Rural
16,Grades,4,Rural
17,Grades,4,Rural
18,Grades,4,Rural
19,Grades,4,Rural
20,Grades,4,Rural
21,Grades,4,Rural
22,Grades,4,Rural
23,Grades,4,Rural
24,Grades,4,Rural
25,Grades,4,Rural
26,Grades,4,Rural
27,Grades,4,Rural
28,Grades,4,Rural
29,Grades,4,Rural
30,Grades,4,Rural
31,Grades,4,Rural
32,Grades,4,Rural
33,Grades,4,Rural
34,Grades,4,Rural
35,Grades,4,Rural
36,Grades,4,Rural
37,Grades,4,Rural
38,Grades,4,Rural
39,Grades,4,Rural
40,Grades,4,Rural
41,Grades,4,Rural
42,Grades,4,Rural
43,Grades,4,Rural
44,Grades,4,Rural
45,Grades,4,Rural
46,Grades,4,Rural
47,Grades,4,Rural
48,Grades,4,Rural
49,Grades,4,Rural
50,Grades,5,Rural
51,Grades,5,Rural
52,Grades,5,Rural
53,Grades,5,Rural
54,Grades,5,Rural
55,Grades,5,Rural
56,Grades,5,Rural
57,Grades,5,Rural
58,Grades,5,Suburban
59,Grades,5,Suburban
60,Grades,5,Suburban
61,Grades,5,Suburban
62,Grades,5,Suburban
63,Grades,5,Suburban
64,Grades,5,Suburban
65,Grades,5,Suburban
66,Grades,5,Suburban
67,Grades,5,Suburban
68,Grades,5,Suburban
69,Grades,5,Suburban
70,Grades,5,Suburban
71,Grades,5,Suburban
72,Grades,5,Suburban
73,Grades,5,Suburban
74,Grades,5,Suburban
75,Grades,5,Suburban
76,Grades,5,Suburban
77,Grades,5,Suburban
78,Grades,5,Suburban
79,Grades,5,Suburban
80,Grades,5,Suburban
81,Grades,5,Suburban
82,Grades,5,Suburban
83,Grades,5,Suburban
84,Grades,5,Suburban
85,Grades,5,Suburban
86,Grades,5,Suburban
87,Grades,5,Suburban
88,Grades,5,Suburban
89,Grades,5,Suburban
90,Grades,5,Suburban
91,Grades,5,Suburban
92,Grades,5,Suburban
93,Grades,5,Suburban
94,Grades,5,Suburban
95,Grades,5,Suburban
96,Grades,5,Suburban
97,Grades,5,Suburban
98,Grades,5,Suburban
99,Grades,5,Suburban
100,Grades,6,Suburban
101,Grades,6,Suburban
102,Grades,6,Suburban
103,Grades,6,Suburban
104,Grades,6,Suburban
105,Grades,6,Suburban
106,Grades,6,Suburban
107,Grades,6,Suburban
108,Grades,6,Suburban
109,Grades,6,Suburban
110,Grades,6,Suburban
111,Grades,6,Suburban
112,Grades,6,Suburban
113,Grades,6,Suburban
114,Grades,6,Suburban
115,Grades,6,Suburban
116,Grades,6,Suburban
117,Grades,6,Suburban
118,Grades,6,Suburban
119,Grades,6,Suburban
120,Grades,6,Suburban
121,Grades,6,Suburban
122,Grades,6,Suburban
123,Grades,6,Suburban
124,Grades,6,Suburban
125,Grades,6,Suburban
126,Grades,6,Suburban
127,Grades,6,Suburban
128,Grades,6,Suburban
129,Grades,6,Suburban
130,Grades,6,Suburban
131,Grades,6,Suburban
132,Grades,6,Suburban
133,Grades,6,Suburban
134,Grades,6,Suburban
135,Grades,6,Suburban
136,Grades,6,Suburban
137,Grades,6,Suburban
138,Grades,6,Suburban
139,Grades,6,Suburban
140,Grades,6,Suburban
141,Grades,6,Suburban
142,Grades,6,Suburban
143,Grades,6,Suburban
144,Grades,6,Suburban
145,Grades,6,Urban
146,Grades,6,Urban
147,Grades,6,Urban
148,Grades,6,Urban
149,Grades,6,Urban
150,Grades,6,Urban
151,Grades,6,Urban
152,Grades,6,Urban
153,Grades,6,Urban
154,Grades,6,Urban
155,Grades,6,Urban
156,Grades,6,Urban
157,Grades,6,Urban
158,Grades,6,Urban
159,Grades,6,Urban
160,Grades,6,Urban
161,Grades,6,Urban
162,Grades,6,Urban
163,Grades,6,Urban
164,Grades,6,Urban
165,Grades,6,Urban
166,Grades,6,Urban
167,Grades,6,Urban
168,Grades,6,Urban
169,Popular,4,Rural
170,Popular,4,Rural
171,Popular,4,Rural
172,Popular,4,Rural
173,Popular,4,Rural
174,Popular,4,Rural
175,Popular,4,Rural
176,Popular,4,Rural
177,Popular,4,Rural
178,Popular,4,Rural
179,Popular,4,Rural
180,Popular,4,Rural
181,Popular,4,Rural
182,Popular,4,Rural
183,Popular,4,Rural
184,Popular,4,Rural
185,Popular,4,Rural
186,Popular,4,Rural
187,Popular,4,Rural
188,Popular,4,Rural
189,Popular,4,Rural
190,Popular,4,Rural
191,Popular,4,Rural
192,Popular,4,Rural
193,Popular,5,Rural
194,Popular,5,Rural
195,Popular,5,Rural
196,Popular,5,Rural
197,Popular,5,Rural
198,Popular,5,Rural
199,Popular,5,Rural
200,Popular,5,Rural
201,Popular,5,Rural
202,Popular,5,Rural
203,Popular,5,Rural
204,Popular,5,Rural
205,Popular,5,Rural
206,Popular,5,Rural
207,Popular,5,Rural
208,Popular,5,Rural
209,Popular,5,Rural
210,Popular,5,Rural
211,Popular,5,Rural
212,Popular,5,Rural
213,Popular,5,Rural
214,Popular,5,Rural
215,Popular,5,Rural
216,Popular,5,Rural
217,Popular,5,Rural
218,Popular,5,Rural
219,Popular,5,Suburban
220,Popular,5,Suburban
221,Popular,5,Suburban
222,Popular,5,Suburban
223,Popular,5,Suburban
224,Popular,5,Suburban
225,Popular,5,Suburban
226,Popular,5,Suburban
227,Popular,5,Suburban
228,Popular,5,Suburban
229,Popular,6,Suburban
230,Popular,6,Suburban
231,Popular,6,Suburban
232,Popular,6,Suburban
233,Popular,6,Suburban
234,Popular,6,Suburban
235,Popular,6,Suburban
236,Popular,6,Suburban
237,Popular,6,Suburban
238,Popular,6,Suburban
239,Popular,6,Suburban
240,Popular,6,Suburban
241,Popular,6,Suburban
242,Popular,6,Suburban
243,Popular,6,Suburban
244,Popular,6,Suburban
245,Popular,6,Suburban
246,Popular,6,Suburban
247,Popular,6,Suburban
248,Popular,6,Suburban
249,Popular,6,Suburban
250,Popular,6,Suburban
251,Popular,6,Suburban
252,Popular,6,Suburban
253,Popular,6,Suburban
254,Popular,6,Suburban
255,Popular,6,Suburban
256,Popular,6,Suburban
257,Popular,6,Suburban
258,Popular,6,Suburban
259,Popular,6,Suburban
260,Popular,6,Suburban
261,Popular,6,Urban
262,Popular,6,Urban
263,Popular,6,Urban
264,Popular,6,Urban
265,Popular,6,Urban
266,Popular,6,Urban
267,Sports,4,Rural
268,Sports,4,Rural
269,Sports,4,Rural
270,Sports,4,Rural
271,Sports,4,Rural
272,Sports,4,Rural
273,Sports,4,Rural
274,Sports,4,Rural
275,Sports,4,Rural
276,Sports,4,Rural
277,Sports,4,Rural
278,Sports,4,Rural
279,Sports,4,Rural
280,Sports,4,Rural
281,Sports,4,Rural
282,Sports,4,Rural
283,Sports,4,Rural
284,Sports,4,Rural
285,Sports,4,Rural
286,Sports,5,Rural
287,Sports,5,Rural
288,Sports,5,Rural
289,Sports,5,Rural
290,Sports,5,Rural
291,Sports,5,Rural
292,Sports,5,Rural
293,Sports,5,Rural
294,Sports,5,Rural
295,Sports,5,Rural
296,Sports,5,Rural
297,Sports,5,Rural
298,Sports,5,Rural
299,Sports,5,Rural
300,Sports,5,Rural
301,Sports,5,Rural
302,Sports,5,Rural
303,Sports,5,Rural
304,Sports,5,Rural
305,Sports,5,Rural
306,Sports,5,Rural
307,Sports,5,Rural
308,Sports,6,Rural
309,Sports,6,Suburban
310,Sports,6,Suburban
311,Sports,6,Suburban
312,Sports,6,Suburban
313,Sports,6,Suburban
314,Sports,6,Suburban
315,Sports,6,Suburban
316,Sports,6,Suburban
317,Sports,6,Suburban
318,Sports,6,Suburban
319,Sports,6,Suburban
320,Sports,6,Suburban
321,Sports,6,Suburban
322,Sports,6,Suburban
323,Sports,6,Suburban
324,Sports,6,Suburban
325,Sports,6,Suburban
326,Sports,6,Suburban
327,Sports,6,Suburban
328,Sports,6,Suburban
329,Sports,6,Suburban
330,Sports,6,Suburban
331,Sports,6,Urban
332,Sports,6,Urban
333,Sports,6,Urban
334,Sports,6,Urban
335,Sports,6,Urban
